GRC,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10732882,,,,,
HRV,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4087843,,,,,
HUN,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9775564,,,,,
IRL,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4867316,,,,,
ITA,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60421760,,,,,
LTU,3028115,2987773,2957689,2932367,2904910,2868231,2828403,2801543,,,,,
LUX,518347,530946,543360,556319,569604,582014,596336,607950,,,,,
LVA,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1927174,,,,,
MLT,416268,420028,425967,434558,445053,455356,467999,484630,,,,,
NLD,16693074,16754962,16804432,16865008,16939923,17030314,17131296,17231624,,,,,
NOR,4953088,5018573,5079623,5137232,5188607,5234519,5276968,5311916,,,,,
POL,38063255,38063164,38040196,38011735,37986412,37970087,37974826,37974750,,,,,
PRT,10557560,10514844,10457295,10401062,10358076,10325452,10300300,10283822,,,,,
ROU,20147528,20058035,19983693,19908979,19815616,19702267,19587290,19472545,,,,,
SWE,9449213,9519374,9600379,9696110,9799186,9923085,10057698,10175214,,,,,
SVN,2052843,2057159,2059953,2061980,2063531,2065042,2066388,2073894,,,,,
SVK,5398384,5407579,5413393,5418649,5423801,5430798,5439232,5446771,,,,,
TUR,73443863,74653016,75928564,77231907,78529409,79821724,81101892,82319724,,,,,
GBR,63258810,63700215,64128273,64602298,65116219,65611593,66058859,66460344,,,,,
JPN,127833000,127629000,127445000,127276000,127141000,126994511,126785797,126529100,,,,,
USA,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,,,,,
