DNK,Q2,0.847337637,5.686352346
POL,Q3,0.847148295,5.622686826
GBR,Q2,0.845852866,5.608888562
JOR,middle,0.843701492,5.569281389
MLT,Q1,0.843408478,5.560115249
DEU,Q2,0.843394264,5.557182939
AZE,middle,0.840662758,5.554473162
SVK,Q4,0.840480103,5.551308193
IDN,middle,0.840296333,5.532375965
SVN,Q2,0.839618415,5.530900277
RWA,high ,0.839548606,5.456144749
TZA,high ,0.839545503,5.452549115
HUN,Q4,0.839544919,5.452106978
NLD,Q2,0.839206539,5.445482796
BLR,high ,0.838639404,5.441176779
GTM,high ,0.838479385,5.434588989
EST,Q2,0.838364813,5.432940978
LVA,Q4,0.838320736,5.365306755
PRT,Q4,0.83825024,5.30892481
LTU,Q4,0.837890594,5.290256751
KAZ,low,0.837786964,5.217640004
SWE,Q3,0.8360498,5.198010799
BGR,Q4,0.835726906,5.14980827
NAM,middle,0.83547614,5.138781092
VNM,middle,0.835451178,5.133984369
KHM,high ,0.835118632,5.013821526
TGO,middle,0.8351121,4.994704437
NLD,Q1,0.835105129,4.971873531
ITA,Q2,0.834537993,4.946487572
JAM,middle,0.832514255,4.932620586
HRV,Q3,0.832415518,4.9176482
LTU,Q3,0.832269616,4.845750871
CZE,Q2,0.832165986,4.756249418
CHN,middle,0.831810618,4.72040143
ESP,Q3,0.788969297,4.710289353
FRA,Q2,0.787375201,4.556425
SVK,Q3,0.785164197,4.533869517
BEL,Q1,0.784980427,4.527211768
UGA,high ,0.784605851,4.488527438
IND,middle,0.784600062,4.456422729
MNG,low,0.781593117,4.433308471
HUN,Q3,0.781403734,4.400040002
POL,Q2,0.781065355,4.395674118
CYP,Q1,0.779769925,4.286211785
UKR,middle,0.779741309,4.282009212
DNK,Q1,0.7756617,4.280046791
IRL,Q1,0.775472358,4.239423775
BLR,middle,0.775316582,4.223298218
GBR,Q1,0.774215951,4.208192334
PRT,Q3,0.772064577,4.145302398
ROU,Q4,0.771704932,4.142495439
LVA,Q3,0.771019783,4.124318737
BGR,Q3,0.770949286,4.060470658
MDG,middle,0.770698521,4.053432068
TUR,Q4,0.770697337,4.039723307
JPN,Q1,0.768152952,4.002453849
NPL,high ,0.763800197,3.888564442
EST,Q1,0.763796171,3.861201774
NGA,middle,0.763752095,3.813704656
SLV,middle,0.76366941,3.737627311
FIN,Q1,0.763593894,3.653041441
PHL,middle,0.763410864,3.632323504
SVN,Q1,0.762693598,3.629528701
ESP,Q2,0.762623788,3.616010764
SWE,Q2,0.761029691,3.608417661
DEU,Q1,0.760706797,3.593649762
SVK,Q2,0.757975291,3.577422307
THA,middle,0.75779152,3.562621468
BLR,lowest ,0.754784931,3.532140835
PAK,middle,0.754780923,3.50028459
HRV,Q2,0.754416212,3.494623014
HUN,Q2,0.75427031,3.432932282
