2.99E+11,3.24E+11,3.46E+11,3.18E+11,2.55E+11,2.61E+11,2.86E+11,3.12E+11,3.50E+11
2.96E+11,3.10E+11,3.26E+11,3.46E+11,3.79E+11,4.06E+11,4.36E+11,4.68E+11,5.02E+11
25629975130,25629975130,25629975130,25629975130,25629975130,25629975130,27390382759,27390382759,27390382759
2.22E+11,2.23E+11,2.23E+11,2.23E+11,2.24E+11,2.28E+11,2.32E+11,2.35E+11,2.37E+11
2.46E+11,2.49E+11,2.54E+11,2.55E+11,2.59E+11,2.63E+11,2.68E+11,2.73E+11,2.77E+11
71102601691,73467932290,71576201283,73647050589,76448261621,79137420007,82143012519,85759460988,90441100277
19032191913,18507735677,17211352800,17201271758,17737768111,18648504909,19556636121,20468184815,20836495412
1.54E+11,1.52E+11,1.53E+11,1.55E+11,1.61E+11,1.68E+11,1.74E+11,1.80E+11,1.86E+11
1.96E+12,1.99E+12,2.00E+12,2.02E+12,2.06E+12,2.11E+12,2.14E+12,2.17E+12,2.21E+12
1.17E+11,1.18E+11,1.18E+11,1.19E+11,1.22E+11,1.25E+11,1.28E+11,1.31E+11,1.33E+11
15699491208,16386638463,16970949250,17587472743,18461091736,19299361614,19849866377,20756070428,21432300000
9.20E+11,8.90E+11,8.64E+11,8.79E+11,9.05E+11,9.29E+11,9.57E+11,9.74E+11,9.83E+11
1.22E+11,1.22E+11,1.22E+11,1.22E+11,1.24E+11,1.27E+11,1.29E+11,1.31E+11,1.32E+11
1.39E+12,1.38E+12,1.39E+12,1.40E+12,1.42E+12,1.45E+12,1.47E+12,1.48E+12,1.50E+12
2.10E+11,1.93E+11,1.88E+11,1.89E+11,1.89E+11,1.89E+11,1.91E+11,1.93E+11,1.94E+11
54966143165,53662800479,52853278484,51556272462,51743915725,53364238244,55031400637,56870943011,58865487515
1.13E+11,1.11E+11,1.11E+11,1.13E+11,1.17E+11,1.23E+11,1.29E+11,1.36E+11,1.42E+11
85141256923,84391372121,84656241489,86784365451,89459201290,94270285577,97154884992,1.00E+11,1.03E+11
1.37E+12,1.32E+12,1.29E+12,1.29E+12,1.31E+12,1.33E+12,1.35E+12,1.36E+12,1.37E+12
42565682788,43879265363,45770339181,47461474839,49385928797,51403017934,53223540772,55188715117,57061643507
14968277216,15404932267,15714266412,16353130343,16646277425,17215006608,17587182837,18172280472,18682213277
24322341700,25356202068,26768850292,26932761555,27534259461,28192179648,29044057180,29812340305,30462496492
6236200000,6236200000,6236200000,6236200000,6236200000,6236200000,8216033651,8216033651,8216033651
3.68E+11,3.64E+11,3.61E+11,3.62E+11,3.69E+11,3.73E+11,3.81E+11,3.90E+11,3.95E+11
1.23E+11,1.28E+11,1.31E+11,1.34E+11,1.38E+11,1.39E+11,1.42E+11,1.45E+11,1.47E+11
5.35E+11,5.38E+11,5.39E+11,5.52E+11,5.73E+11,5.96E+11,6.24E+11,6.52E+11,6.77E+11
1.86E+11,1.76E+11,1.74E+11,1.78E+11,1.82E+11,1.86E+11,1.90E+11,1.95E+11,2.00E+11
2.15E+11,2.19E+11,2.20E+11,2.29E+11,2.43E+11,2.62E+11,2.90E+11,3.13E+11,3.30E+11
1.94E+11,1.96E+11,1.99E+11,2.05E+11,2.13E+11,2.18E+11,2.24E+11,2.28E+11,2.31E+11
33696782820,32958777213,31661382255,32175498837,32828177629,34288460699,34924283441,36197314953,37928272561
68075022668,68348224143,67541396765,68809433102,70711225143,73459284616,76736327669,79847728404,81691791612
8.15E+11,8.40E+11,9.04E+11,9.32E+11,9.81E+11,1.02E+12,1.08E+12,1.08E+12,1.10E+12
1.47E+12,1.50E+12,1.54E+12,1.57E+12,1.62E+12,1.68E+12,1.72E+12,1.74E+12,1.76E+12
2.51E+12,2.56E+12,2.62E+12,2.60E+12,2.59E+12,2.58E+12,2.62E+12,2.62E+12,2.62E+12
1.15E+13,1.17E+13,1.18E+13,1.22E+13,1.26E+13,1.30E+13,1.33E+13,1.37E+13,1.40E+13
