scenario code,1.5 °C,2 °C,BAU,LP,MP,HP,LP.R,MP.R,HP.R,LP.RR,MP.RR,HP.RR,LG1,LG2
year,1.5 degree consistent,2 degree consistent,Business as usual,Low price,Medium price,High price,Low price retrofit,Medium price retrofit,High price retrofit,Low price retrofit + redistribution,Medium price retrofit + redistribution,High price retrofit + redistr.,Low growth scenario medium price retrofi + redist.,Low growth scenario low price retrofit + redist.
2061,0,3.2571,15.65,14.01946304,12.8102481,11.18828875,12.55497961,11.44750164,10.04985556,12.70516428,11.73001911,10.51492817,7.460215614,8.035232984
2062,0,2.8731,15.62,13.97223224,12.75802501,11.13325983,12.51895223,11.4133517,10.01024835,12.67102549,11.69338471,10.47501625,7.34836526,7.914568156
2063,0,2.4891,15.59,13.93243186,12.70999568,11.08245142,12.49075734,11.38352815,9.976101985,12.64248753,11.66286824,10.44205593,7.241327949,7.798891563
2064,0,2.1051,15.57,13.8978781,12.67102719,11.04132754,12.46780898,11.36020413,9.946874294,12.61849785,11.63796233,10.41133386,7.138622975,7.687602607
2065,0,1.7211,15.56,13.8706675,12.63930735,11.00469293,12.44071445,11.33407843,9.915897292,12.59038419,11.61068672,10.37889382,7.033878053,7.574835705
2066,0,1.3371,15.52,13.82565866,12.5902929,10.95419653,12.40824988,11.30105089,9.878909466,12.55659947,11.57906424,10.3442433,6.930453843,7.463152593
2067,0,0.9531,15.5,13.78731931,12.54911086,10.90573298,12.38109946,11.27546366,9.845564519,12.53086292,11.55080931,10.31267862,6.831635714,7.354866108
2068,0,0.5691,15.47,13.75610619,12.50947503,10.86508137,12.36093249,11.25287782,9.81744154,12.50933811,11.52977412,10.2846809,6.735085792,7.250318215
2069,0,0.1851,15.46,13.72921406,12.47868206,10.82910758,12.34503042,11.2368033,9.794634864,12.49330228,11.51153258,10.2613947,6.641783617,7.149201388
2070,0,0,15.45,13.7074143,12.45205761,10.80017629,12.32541335,11.21668687,9.769809066,12.47451609,11.49037647,10.23496156,6.547905163,7.046638439
2071,0,0,15.41,13.66644048,12.40958402,10.75457485,12.29930774,11.19060127,9.74000075,12.44688162,11.4649336,10.20494099,6.453501157,6.944681104
2072,0,0,15.39,13.63302567,12.37119783,10.71253491,12.27943251,11.16886026,9.714707066,12.42366496,11.44222622,10.1783271,6.361485081,6.845985315
2073,0,0,15.36,13.60375172,12.33808857,10.68072522,12.2600187,11.15008885,9.693272263,12.40607123,11.42340265,10.15476565,6.272994423,6.750319493
2074,0,0,15.35,13.58041065,12.30748373,10.65130868,12.24854301,11.13574961,9.676272928,12.39227338,11.40830555,10.13461813,6.187040103,6.65778366
2075,0,0,15.33,13.56107118,12.28221239,10.62238241,12.23124701,11.11850195,9.655023545,12.37285126,11.39081334,10.10973245,6.099453801,6.563400612
2076,0,0,15.3,13.52497255,12.24330379,10.58607144,12.20833538,11.09701165,9.628515591,12.34725399,11.36560283,10.08182788,6.01210681,6.469584241
2077,0,0,15.27,13.49319206,12.21103879,10.55155467,12.19051995,11.07786523,9.608917762,12.32772017,11.34510689,10.05719978,5.927997542,6.377959955
2078,0,0,15.24,13.46533226,12.1815109,10.52059133,12.1763375,11.062515,9.590106515,12.31278868,11.32792326,10.03710272,5.845704979,6.289135621
2079,0,0,15.22,13.44189057,12.15636255,10.4938301,12.16651675,11.04990618,9.574913564,12.30322655,11.31344721,10.02143947,5.766283793,6.202916314
2080,0,0,15.21,13.42281066,12.13512074,10.46900766,12.1518716,11.03247981,9.555714946,12.28829283,11.29816072,10.00123831,5.68521605,6.115489615
2081,0,0,15.17,13.38698578,12.09732004,10.43343708,12.1290838,11.0113499,9.532930244,12.26555558,11.27582895,9.974668434,5.604454456,6.029675793
2082,0,0,15.14,13.35536812,12.06327173,10.40127299,12.11077536,10.99193709,9.51342924,12.24679553,11.25687254,9.950587565,5.526077061,5.945419413
2083,0,0,15.11,13.32792823,12.03494482,10.37446247,12.09790321,10.97601285,9.493872451,12.2303806,11.2405433,9.931953769,5.449588711,5.863969526
2084,0,0,15.09,13.30531619,12.01076537,10.34882182,12.08642951,10.96530436,9.477688681,12.21961068,11.2270797,9.916821025,5.375073344,5.784970495
2085,0,0,15.06,13.2851101,11.99126289,10.32754024,12.07220515,10.95086791,9.461531438,12.20426046,11.20899201,9.898100078,5.298945783,5.705124295
2086,0,0,15.03,13.24876873,11.95707697,10.29316048,12.04944958,10.92932866,9.441467991,12.18147784,11.18388619,9.871969251,5.224026038,5.625106669
2087,0,0,14.99,13.21646025,11.92709829,10.26458714,12.03063082,10.91277648,9.423788204,12.16191576,11.16455205,9.850725669,5.151241374,5.547218459
2088,0,0,14.96,13.18810961,11.9009891,10.23884863,12.015302,10.89771149,9.40819122,12.14606132,11.14692871,9.83268337,5.080403766,5.47197128
2089,0,0,14.93,13.16207212,11.87795363,10.21558468,12.00224915,10.8856751,9.394764325,12.13275062,11.13218565,9.817970541,5.010830037,5.398136442
2090,0,0,14.9,13.14092545,11.85681882,10.19688102,11.98490472,10.86962751,9.379622603,12.11501635,11.11646234,9.801449233,4.940392378,5.323227547
2091,0,0,14.86,13.10536502,11.82294877,10.16892166,11.96184296,10.84874162,9.360439103,12.09099991,11.09300824,9.778846718,4.87086971,5.248428067
2092,0,0,14.82,13.07209781,11.79393825,10.14192323,11.94199423,10.82936007,9.343824013,12.0697333,11.07308441,9.761241642,4.802937431,5.175829347
2093,0,0,14.78,13.04090118,11.76696303,10.11767646,11.92465392,10.81228889,9.328338402,12.05152251,11.05518002,9.746347102,4.737266631,5.105020787
2094,0,0,14.75,13.01261175,11.74394359,10.09713532,11.90815065,10.79974965,9.316105701,12.03520578,11.03993773,9.732411376,4.672596532,5.035894422
2095,0,0,14.72,12.98749031,11.72031851,10.07703354,11.88940947,10.78283187,9.303263447,12.016338,11.02340758,9.717730882,4.607513605,4.965899562
2096,0,0,14.67,12.94813463,11.6845599,10.04632076,11.86143443,10.75684361,9.282864679,11.98761998,10.99823923,9.697092476,4.542284396,4.895816993
2097,0,0,14.62,12.90882151,11.65278264,10.02096664,11.83649855,10.73469445,9.26548733,11.96180723,10.97500021,9.679990449,4.478752855,4.827538393
2098,0,0,14.57,12.87430217,11.62350225,9.996328991,11.81279763,10.71617478,9.24922039,11.9383511,10.95159755,9.665877927,4.416522678,4.760964854
2099,0,0,14.53,12.84240826,11.59422382,9.973140165,11.79116823,10.69939313,9.236098802,11.9160841,10.93199908,9.656596702,4.356045939,4.695625323
2100,0,0,14.49,12.81184215,11.56833469,9.952557539,11.79640173,10.7055502,9.242444547,11.92057947,10.93750992,9.671516887,4.3069928,4.643506789
