FRA,High income,G7,46110.18471,22399.5,66965912,Europe,North
GRC,High income,Europe,30465.44879,18075.3,10732882,Europe,North
HRV,High income,Europe,28829.35553,14400.1,4087843,Europe,North
HUN,High income,Europe,32643.49054,14526,9775564,Europe,North
IRL,High income,Europe,86696.23908,21161.6,4867316,Europe,North
ITA,High income,G7,42419.72083,22674,60421760,Europe,North
LTU,High income,Europe,37278.30334,20367.9,2801543,Europe,North
LUX,High income,Europe,114323.4054,30729.9,607950,Europe,North
LVA,High income,Europe,30982.17473,15806.8,1927174,Europe,North
MLT,High income,Europe,43707.54016,16953.2,484630,Europe,North
NLD,High income,Europe,56849.37691,22923,17231624,Europe,North
NOR,High income,Europe,64962.26227,27673.6,5311916,Europe,North
POL,High income,Europe,33221.54154,17827.6,37974750,Europe,North
PRT,High income,Europe,34961.94358,19448,10283822,Europe,North
ROU,Upper middle income,Europe,29983.55753,16946.9,19472545,Europe,North
SWE,High income,Europe,52608.70954,22702.2,10175214,Europe,North
SVN,High income,Europe,39037.93196,18288.4,2073894,Europe,North
SVK,High income,Europe,31965.76217,14998.2,5446771,Europe,North
TUR,Upper middle income,Eastern Europe and Central Asia,28289.0888,13362.5,82319724,Europe,South
GBR,High income,G7,46704.32149,26482,66460344,Europe,North
JPN,High income,G7,41667.1791,20706.7,126529100,Asia,North
USA,High income,G7,62530.38959,42854.4,326687501,North America,North
