,medium price scenario,,,,low price scenario,,,,high price scenario,,,
year,low_income,lower_middle_income,upper_middle_income,high_income,low_income,lower_middle_income,upper_middle_income,high_income,low_income,lower_middle_income,upper_middle_income,high_income
2082,771.538,775,780.769,1573.08,385.769,387.5,390.385,786.538,1543.076,1550,1561.538,3146.16
2083,784.231,787.5,792.949,1596.79,392.1155,393.75,396.474,798.397,1568.462,1575,1585.898,3193.58
2084,796.923,800,805.128,1620.51,398.4615,400,402.564,810.256,1593.846,1600,1610.256,3241.02
2085,809.615,812.5,817.308,1644.23,404.8075,406.25,408.654,822.115,1619.23,1625,1634.616,3288.46
2086,822.308,825,829.487,1667.95,411.154,412.5,414.744,833.974,1644.616,1650,1658.974,3335.9
2087,835,837.5,841.667,1691.67,417.5,418.75,420.833,845.833,1670,1675,1683.334,3383.34
2088,847.692,850,853.846,1715.38,423.846,425,426.923,857.692,1695.384,1700,1707.692,3430.76
2089,860.385,862.5,866.026,1739.1,430.1925,431.25,433.013,869.551,1720.77,1725,1732.052,3478.2
2090,873.077,875,878.205,1762.82,436.5385,437.5,439.103,881.41,1746.154,1750,1756.41,3525.64
2091,885.769,887.5,890.385,1786.54,442.8845,443.75,445.192,893.269,1771.538,1775,1780.77,3573.08
2092,898.462,900,902.564,1810.26,449.231,450,451.282,905.128,1796.924,1800,1805.128,3620.52
2093,911.154,912.5,914.744,1833.97,455.577,456.25,457.372,916.987,1822.308,1825,1829.488,3667.94
2094,923.846,925,926.923,1857.69,461.923,462.5,463.462,928.846,1847.692,1850,1853.846,3715.38
2095,936.538,937.5,939.103,1881.41,468.269,468.75,469.551,940.705,1873.076,1875,1878.206,3762.82
2096,949.231,950,951.282,1905.13,474.6155,475,475.641,952.564,1898.462,1900,1902.564,3810.26
2097,961.923,962.5,963.462,1928.85,480.9615,481.25,481.731,964.423,1923.846,1925,1926.924,3857.7
2098,974.615,975,975.641,1952.56,487.3075,487.5,487.821,976.282,1949.23,1950,1951.282,3905.12
2099,987.308,987.5,987.821,1976.28,493.654,493.75,493.91,988.141,1974.616,1975,1975.642,3952.56
2100,1000,1000,1000,2000,500,500,500,1000,2000,2000,2000,4000
