scenario code,1.5 °C,2 °C,BAU,LP,MP,HP,LP.R,MP.R,HP.R,LP.RR,MP.RR,HP.RR,LG1,LG2,Exp.
year,1.5 degree consistent,2 degree consistent,Business as usual,Low price,Medium price,High price,Low price retrofit,Medium price retrofit,High price retrofit,Low price retrofit + redistribution,Medium price retrofit + redistribution,High price retrofit + redistr.,Low growth scenario medium price retrofi + redist.,Low growth scenario low price retrofit + redist.,exponential price trajectory control (High price retrofit + redistr.)
2077,0,0,15.27,12.30,10.53,8.43,11.17,9.60,7.83,11.42,10.05,8.48,5.33,5.96,10.35
2078,0,0,15.24,12.25,10.47,8.38,11.14,9.55,7.78,11.38,10.01,8.43,5.25,5.87,10.28
2079,0,0,15.22,12.20,10.42,8.32,11.11,9.51,7.74,11.35,9.97,8.39,5.17,5.78,10.21
2080,0,0,15.21,12.16,10.36,8.27,11.07,9.47,7.69,11.32,9.92,8.34,5.09,5.69,10.15
2081,0,0,15.17,12.10,10.30,8.21,11.03,9.42,7.64,11.27,9.88,8.29,5.00,5.60,10.06
2082,0,0,15.14,12.05,10.24,8.15,10.99,9.38,7.59,11.23,9.83,8.25,4.92,5.52,9.98
2083,0,0,15.11,12.00,10.18,8.10,10.95,9.33,7.55,11.20,9.79,8.20,4.85,5.43,9.90
2084,0,0,15.09,11.95,10.13,8.05,10.92,9.29,7.50,11.17,9.75,8.16,4.77,5.35,9.83
2085,0,0,15.06,11.91,10.08,8.00,10.88,9.25,7.46,11.13,9.70,8.11,4.69,5.27,9.75
2086,0,0,15.03,11.85,10.02,7.94,10.84,9.20,7.41,11.09,9.66,8.07,4.62,5.19,9.66
2087,0,0,14.99,11.80,9.96,7.88,10.80,9.16,7.36,11.05,9.61,8.02,4.54,5.11,9.57
2088,0,0,14.96,11.75,9.90,7.83,10.76,9.11,7.32,11.01,9.57,7.98,4.47,5.03,9.49
2089,0,0,14.93,11.70,9.85,7.78,10.73,9.07,7.28,10.98,9.53,7.93,4.40,4.96,9.40
2090,0,0,14.90,11.65,9.80,7.73,10.69,9.03,7.23,10.94,9.48,7.89,4.33,4.88,9.32
2091,0,0,14.86,11.60,9.74,7.67,10.64,8.98,7.19,10.90,9.43,7.84,4.26,4.81,9.22
2092,0,0,14.82,11.54,9.69,7.62,10.60,8.94,7.14,10.86,9.39,7.79,4.20,4.74,9.13
2093,0,0,14.78,11.49,9.63,7.57,10.56,8.89,7.10,10.82,9.35,7.75,4.13,4.66,9.03
2094,0,0,14.75,11.44,9.58,7.52,10.53,8.85,7.06,10.78,9.30,7.71,4.07,4.59,8.95
2095,0,0,14.72,11.39,9.53,7.47,10.49,8.81,7.01,10.74,9.26,7.67,4.00,4.52,8.85
2096,0,0,14.67,11.33,9.47,7.41,10.44,8.76,6.96,10.69,9.21,7.62,3.94,4.45,8.75
2097,0,0,14.62,11.27,9.41,7.36,10.40,8.71,6.92,10.65,9.16,7.57,3.87,4.39,8.66
2098,0,0,14.57,11.22,9.35,7.31,10.35,8.67,6.87,10.60,9.12,7.52,3.81,4.32,8.56
2099,0,0,14.53,11.17,9.30,7.26,10.31,8.62,6.83,10.56,9.07,7.48,3.75,4.25,8.47
2100,0,0,14.49,11.12,9.25,7.21,10.29,8.60,6.80,10.55,9.05,7.45,3.70,4.20,8.39
