2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
18.6666,17.5366,16.4066,15.2766,14.1466,13.0166,11.8866,10.7566,9.6266,8.4966,7.3666,6.2366,5.1066,3.9766,2.8466,1.7166,0.5866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.6666,18.6171,18.2801,17.9431,17.6061,17.2691,16.9321,16.5951,16.2581,15.9211,15.5841,15.2471,14.9101,14.5731,14.2361,13.8991,13.5621,13.2251,12.8881,12.5511,12.2141,11.8771,11.5401,11.2031,10.8661,10.5291,10.1921,9.8551,9.5181,9.1811,8.8441,8.5071,8.1701,7.8331,7.4961,7.1591,6.8221,6.4851,6.1481,5.8111,5.4741,5.1371,4.8001,4.4631,4.1261,3.7891,3.4521,3.1151,2.7781,2.4411,2.1041,1.7671,1.4301,1.0931,0.7561,0.4191,0.0821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
