,,,,emissions,,,financial,,
,,GDPpc PPP,,uniform,luxury,difference in differences,uniform,luxury ,difference in differences
3,BGD,4753.726947,Asia,-0.01171,-0.0426,0.03089,0.00014,-0.00313,0.00327
50,THA,18459.99486,Asia,-0.0372,-0.06261,0.02541,-0.00306,-0.0063,0.00324
6,BOL,8724.475702,Latin America,-0.06112,-0.12316,0.06204,-0.00101,-0.00416,0.00315
42,PER,12847.88521,Latin America,-0.01371,-0.02397,0.01026,-0.00026,-0.00341,0.00314
17,GHA,5412.628122,SSA + MENA,-0.00622,-0.01907,0.01285,-0.00083,-0.00395,0.00313
25,KAZ,26351.43864,Asia,-0.05015,-0.07479,0.02464,-0.01013,-0.01325,0.00312
24,JOR,10071.38287,SSA + MENA,0.00662,-0.00177,0.0084,-0.00332,-0.00615,0.00283
8,BFA,2178.323415,SSA + MENA,-0.00237,-0.00572,0.00335,0.00096,-0.00175,0.00271
52,UGA,2187.464881,SSA + MENA,-0.00521,-0.01376,0.00855,-0.00077,-0.00324,0.00247
16,ETH,2221.404605,SSA + MENA,-0.00226,-0.00986,0.0076,-0.0002,-0.00263,0.00243
40,PAK,4690.484755,Asia,-0.00161,-0.00529,0.00369,-0.00026,-0.00261,0.00235
43,PHL,8908.175977,Asia,-0.0084,-0.01671,0.00831,-0.00229,-0.00453,0.00224
30,MWI,1059.72349,SSA + MENA,-0.00888,-0.02019,0.01132,-0.00208,-0.00421,0.00214
22,IDN,11812.19764,Asia,-0.0001,-0.0039,0.0038,-0.00078,-0.00288,0.0021
10,CMR,3642.277258,SSA + MENA,-0.00076,-0.00422,0.00346,0.0012,-0.00089,0.00209
13,CIV,5212.556048,SSA + MENA,-0.00418,-0.01044,0.00626,-0.00119,-0.00324,0.00205
11,CHN,16092.30077,Asia,0.00476,0.00123,0.00353,-0.00005,-0.00204,0.00199
49,TZA,2660.420338,SSA + MENA,-0.00683,-0.01241,0.00558,-0.00052,-0.00175,0.00122
51,TGO,1596.644938,SSA + MENA,-0.00882,-0.01233,0.00351,-0.00249,-0.00369,0.00121
45,RWA,2226.863571,SSA + MENA,-0.00146,-0.00293,0.00148,-0.00052,-0.00133,0.00081
29,MDG,1647.02116,SSA + MENA,-0.00072,-0.00074,0.00002,-0.00043,0.00014,0.00057
39,NGA,5135.499571,SSA + MENA,0.00053,-0.00215,0.00268,-0.00082,-0.00138,0.00055
19,GIN,2562.082921,SSA + MENA,-0.00219,-0.00456,0.00236,-0.00034,-0.00088,0.00054
5,BEN,3287.309538,SSA + MENA,-0.04043,-0.068,0.02757,-0.00146,-0.00194,0.00047
27,KGZ,5253.097478,Asia,-0.00417,-0.00338,0.00079,-0.0055,-0.00589,0.0004
